node;memory size;create time; destroy time
0;32;117136;26063
1;32;78819;26031
2;32;78102;26332
3;32;79354;26581
4;32;79059;26087
5;32;79889;26448
6;32;79114;26026
7;32;86540;25893
0;64;79132;37565
1;64;79500;37524
2;64;79781;37321
3;64;78905;37325
4;64;79402;37118
5;64;79771;37206
6;64;80187;37400
7;64;79551;37519
0;128;79827;59886
1;128;80664;60084
2;128;80181;60286
3;128;80934;60273
4;128;80581;60469
5;128;80710;59753
6;128;80319;60349
7;128;80898;59851
0;256;81721;102308
1;256;81192;102494
2;256;81678;103676
3;256;82403;103098
4;256;82569;103494
5;256;82378;103662
6;256;82084;103940
7;256;82212;103683
0;512;85113;187497
1;512;86053;187111
2;512;85914;186984
3;512;86678;186022
4;512;85476;188613
5;512;86041;188950
6;512;85706;188361
7;512;86798;187626
0;1024;92933;355333
1;1024;93141;357613
2;1024;93155;354120
3;1024;93539;354464
4;1024;92932;356684
5;1024;93481;358581
6;1024;93362;356115
7;1024;94337;357010
0;2048;106661;688908
1;2048;108596;690050
2;2048;108800;690429
3;2048;108843;693389
4;2048;108312;692473
5;2048;109713;692053
6;2048;108783;694746
7;2048;109812;693058
0;4096;138772;1366141
1;4096;137641;1368651
2;4096;139010;1358154
3;4096;141275;1359054
4;4096;139589;1366696
5;4096;141092;1366500
6;4096;138826;1366675
7;4096;142140;1365301
0;8192;198024;2702586
1;8192;196314;2707951
2;8192;198566;2703851
3;8192;201800;2722825
4;8192;198711;2710787
5;8192;202408;2730702
6;8192;199916;2714331
7;8192;205624;2711974
0;16384;326255;5495177
1;16384;329214;5386119
2;16384;332160;5428911
3;16384;341568;5431277
4;16384;333996;5420777
5;16384;342550;5429376
6;16384;334432;5420987
7;16384;350836;5699326
