node;memory size;create time; destroy time
0;32;86247;25747
1;32;79382;25948
2;32;79454;29187
3;32;79507;35445
4;32;79049;27126
5;32;79771;27772
6;32;78890;27106
7;32;80342;28444
0;64;80122;36416
1;64;79516;37826
2;64;87448;42880
3;64;80163;55315
4;64;79492;38304
5;64;80614;40380
6;64;79809;39196
7;64;80105;41587
0;128;81144;58737
1;128;80854;60378
2;128;80883;70837
3;128;80997;96693
4;128;81040;62971
5;128;81240;65760
6;128;80362;63845
7;128;80598;67069
0;256;82625;100801
1;256;82944;104022
2;256;82462;125248
3;256;81919;176065
4;256;82986;108683
5;256;82389;114652
6;256;82285;108988
7;256;82520;116735
0;512;86157;182619
1;512;85889;189608
2;512;86549;232178
3;512;86383;333622
4;512;86076;199393
5;512;86959;210495
6;512;85827;198600
7;512;86365;214489
0;1024;93194;347054
1;1024;92974;358189
2;1024;93227;443747
3;1024;93922;645142
4;1024;93152;377528
5;1024;94473;403820
6;1024;94097;378360
7;1024;94347;409846
0;2048;107305;674060
1;2048;108210;697124
2;2048;108656;871389
3;2048;109255;1274035
4;2048;108835;737616
5;2048;110804;789756
6;2048;110570;743176
7;2048;110758;797921
0;4096;139359;1329603
1;4096;137922;1374766
2;4096;138372;1722804
3;4096;141110;2523562
4;4096;139799;1461152
5;4096;142026;1564523
6;4096;140270;1463054
7;4096;142178;1590527
0;8192;199006;2641307
1;8192;195547;2728671
2;8192;199674;3428727
3;8192;203031;5031834
4;8192;199418;2894001
5;8192;204496;3110921
6;8192;200855;2916659
7;8192;206215;3161306
0;16384;327150;5365370
1;16384;330650;5438186
2;16384;331444;6805202
3;16384;339854;10021889
4;16384;333294;5783266
5;16384;346319;6198795
6;16384;334781;5801493
7;16384;346296;6212958
