node;memory size;create time; destroy time
0;32;113269;17586
1;32;78328;17812
2;32;78263;17706
3;32;79085;17533
4;32;83217;17876
5;32;78767;17422
6;32;78104;18042
7;32;78985;17794
0;64;79784;20194
1;64;78481;20540
2;64;79690;20812
3;64;80239;20118
4;64;78759;20481
5;64;79670;20857
6;64;80453;20138
7;64;79966;20648
0;128;79689;25734
1;128;79977;25953
2;128;80840;25057
3;128;80946;25741
4;128;80504;26327
5;128;80620;25999
6;128;80826;25489
7;128;80881;25605
0;256;83074;34752
1;256;82256;34765
2;256;81499;33947
3;256;81799;35020
4;256;82075;34279
5;256;82531;34059
6;256;83017;34294
7;256;82180;33625
0;512;85259;49903
1;512;85609;50897
2;512;86096;49343
3;512;85684;50143
4;512;86551;49740
5;512;85851;50483
6;512;85921;50948
7;512;86761;50500
0;1024;93992;80732
1;1024;93263;80859
2;1024;93204;80780
3;1024;92959;82137
4;1024;93241;82352
5;1024;94543;80417
6;1024;94215;81189
7;1024;94703;81647
0;2048;107170;142666
1;2048;108432;141389
2;2048;108898;142169
3;2048;108098;145819
4;2048;108750;143195
5;2048;110493;144256
6;2048;108961;146210
7;2048;110269;141112
0;4096;139056;271839
1;4096;138138;263878
2;4096;139170;264445
3;4096;142186;265888
4;4096;139406;267357
5;4096;141221;264310
6;4096;139940;273279
7;4096;141913;269440
0;8192;199710;509872
1;8192;196101;505023
2;8192;198081;522285
3;8192;202716;520898
4;8192;199999;523667
5;8192;203327;520150
6;8192;199555;524749
7;8192;204640;508279
0;16384;324899;992531
1;16384;330195;1015413
2;16384;330592;1023302
3;16384;341084;991041
4;16384;333642;1032812
5;16384;341981;1000915
6;16384;335853;1022415
7;16384;347688;1003054
